"ASV","log2FoldChange","deseq_pvalue","deseq_padj","wilcox_pvalue","wilcox_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1169",-8.4414701252528,6.56369676287387e-12,6.46005944556534e-11,3.74112021791021e-05,0.000528162637153206,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Unclassified","Unclassified"
"ASV1172",-8.3847871214875,1.35339146418687e-09,9.80946526368004e-09,0.000123202185810782,0.00138763535993127,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified","Unclassified"
"ASV1175",8.02462670420403,1.7482798277398e-07,9.84723878877541e-07,0.000383391726577478,0.00327861323475331,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","Unclassified"
"ASV1210",3.34698217817831,0.0148043608241936,0.0275738593040259,8.97174877578697e-05,0.00121118608473124,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV1213",-6.98793085817497,2.47693195805998e-05,9.81326856265289e-05,0.00108047350717373,0.00778530827631822,"Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Thermoactinomyces","Unclassified"
"ASV1216",7.99075953433622,5.45412971884529e-14,7.39074099582659e-13,1.02689156151545e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Unclassified","Unclassified"
"ASV1228",-8.36212285946292,2.99052846821844e-15,5.27574361846083e-14,9.96101399137803e-06,0.000246762042232163,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter","Unclassified"
"ASV1231",7.1905919742532,3.93484779938033e-09,2.73530915707279e-08,3.72384233201691e-05,0.000528162637153206,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga","Tardiphaga_robiniae"
"ASV1246",7.92527090800231,1.01970253186321e-10,8.44342490333879e-10,3.74112021791021e-05,0.000528162637153206,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_islandensis"
"ASV1250",-8.32878721468653,1.10333966351666e-11,1.05267610753886e-10,3.74112021791021e-05,0.000528162637153206,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","Unclassified","Unclassified"
"ASV1254",7.92871526438425,8.29324239453045e-14,1.0769696720675e-12,1.0217071642797e-05,0.000246762042232163,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Unclassified"
"ASV1258",-8.32616220407068,5.86127162403863e-15,9.44877408357952e-14,1.0217071642797e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter","Unclassified"
"ASV1260",7.75541422927923,3.05687794397575e-10,2.34277121116174e-09,3.74112021791021e-05,0.000528162637153206,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Unclassified","Unclassified"
"ASV1261",7.91301347214573,2.31433749457579e-07,1.28803902227879e-06,0.000383391726577478,0.00327861323475331,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Unclassified"
"ASV1265",7.46929411794712,4.4579639618759e-05,0.00016943887416073,0.00285558548609658,0.0172845640380103,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Unclassified"
"ASV1267",7.90916466876146,1.01956389137239e-13,1.27105631791092e-12,1.0217071642797e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","Unclassified"
"ASV1270",7.89754491239946,1.6675944123694e-10,1.31025275257596e-09,3.75846071382431e-05,0.000528162637153206,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","Unclassified"
"ASV1273",7.9042084125568,1.16164591237874e-13,1.4105700364599e-12,1.0217071642797e-05,0.000246762042232163,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parafilimonas","Unclassified"
"ASV1278",-8.28329273059436,1.7760415219286e-11,1.62803806176789e-10,3.72384233201691e-05,0.000528162637153206,"Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Thermoflavimicrobium","Unclassified"
"ASV1286",-6.7056791453651,5.00005653284573e-05,0.000185517970563919,0.00108047350717373,0.00778530827631822,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus","Unclassified"
"ASV1297",7.85869763912071,1.35483085543799e-10,1.09204038778838e-09,3.70662690139983e-05,0.000528162637153206,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Unclassified"
"ASV1301",-4.89227020644055,0.00262448996616974,0.006259944179512,0.000799571591874696,0.00660167386665741,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Unclassified","Unclassified"
"ASV1308",-8.24158365441602,1.23091822783023e-14,1.91818090503544e-13,1.00118060079565e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","JGI 0001001-H03","Unclassified"
"ASV1314",7.81548328189332,2.21109184342727e-13,2.55230972049938e-12,1.01654393312803e-05,0.000246762042232163,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Unclassified","Unclassified"
"ASV1331",-3.34158490012596,0.018417800015976,0.0331166211825722,0.000863138527636601,0.00705483633302977,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Unclassified"
"ASV1333",7.84648413310524,1.52160133675447e-08,9.74450171140704e-08,0.000125308727883931,0.00138763535993127,"Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","Unclassified"
"ASV1341",7.88616210736428,1.98124659265717e-05,8.09062449260227e-05,0.00285558548609658,0.0172845640380103,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Unclassified","Unclassified"
"ASV1352",7.0539640921988,2.04637103112271e-05,8.2829303640681e-05,0.00108433256167357,0.00778530827631822,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Unclassified","Unclassified"
"ASV1369",-8.13912428804606,2.481540525491e-14,3.56960060205244e-13,1.0217071642797e-05,0.000246762042232163,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified","Unclassified"
"ASV1389",7.47162495388685,4.40549508208383e-12,4.42918053951439e-11,1.01140180446834e-05,0.000246762042232163,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Unclassified"
"ASV1394",-6.86535604256,5.1072237845321e-07,2.64334204543243e-06,0.00012425210587284,0.00138763535993127,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","Unclassified"
"ASV1404",-8.09093918754219,2.60534431432562e-14,3.69090444529463e-13,1.01654393312803e-05,0.000246762042232163,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified","Unclassified"
"ASV1412",4.4952781209725,8.08434750792876e-05,0.000292979260461759,1.80602158571048e-05,0.000392777572272777,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","Unclassified"
"ASV1413",7.62484611950804,5.03954707017613e-07,2.63238911207524e-06,0.000383391726577478,0.00327861323475331,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","Unclassified","Unclassified"
"ASV1422",7.73186342821618,4.29897555377516e-07,2.28383076294305e-06,0.000383391726577478,0.00327861323475331,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea_gansuensis"
"ASV1427",-7.80077824109994,1.41621183684118e-08,9.1321246030793e-08,0.00012425210587284,0.00138763535993127,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified","Unclassified"
"ASV1442",4.21167892564373,0.00028811653347398,0.000941919436357241,1.82242668972004e-05,0.000392777572272777,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","Unclassified","Unclassified"
